token_text,count,pct_of_onsets,benchmarks,labels,mean_p,mean_q,mean_p_over_q,mean_u,mean_target_rank,mean_target_top1_prob,mean_target_top1_margin,mean_target_entropy,mean_draft_entropy,mean_kl_target_draft,mean_kl_draft_target,mean_tv_distance,mean_consecutive_accepted_length,share_strict_would_accept,share_lossy_would_accept,share_actually_accepted,share_lossy_only_accepted
 i,1,0.30120481927710846,aime24,unproductive_repetition,0.34614986,0.03286619,10.532094,0.01545986,0.0,0.34615,0.0,2.45544,3.20244,1.25626,1.43228,0.60572,3.0,1.0,1.0,1.0,0.0
 if,1,0.30120481927710846,aime24,unproductive_repetition,0.02005895,0.26214075,0.07652,0.03365656,7.0,0.517327,0.497268,2.45826,3.128,1.04374,1.14112,0.57326,4.0,1.0,1.0,1.0,0.0
 in,1,0.30120481927710846,aime24,unproductive_repetition,0.66289884,0.67952818,0.975528,0.42573357,0.0,0.662899,0.0,1.03595,1.04564,0.09845,0.09584,0.05464,1.0,1.0,1.0,1.0,0.0
 k,1,0.30120481927710846,aime24,unproductive_repetition,,,,,,,,,,,,,6.0,,,,
 leave,1,0.30120481927710846,aime24,unproductive_repetition,0.02095386,0.06090343,0.344051,0.25829649,8.0,0.371416,0.350462,2.45731,2.78964,0.24957,0.28836,0.2375,2.0,1.0,1.0,1.0,0.0
 lines,1,0.30120481927710846,aime24,unproductive_repetition,0.36315209,0.79340482,0.457713,0.55587626,1.0,0.411505,0.048353,1.59759,1.22475,1.38079,0.98117,0.56632,2.0,0.0,1.0,1.0,1.0
 may,1,0.30120481927710846,aime24,unproductive_repetition,0.1634333,0.17606267,0.928268,0.38832158,1.0,0.305334,0.1419,2.45558,2.96318,3.70387,1.32121,0.56368,1.0,1.0,1.0,1.0,0.0
 n,1,0.30120481927710846,aime24,unproductive_repetition,0.29154614,0.29465687,0.989443,0.26389378,0.0,0.291546,0.0,2.36513,1.56489,1.46781,1.3518,0.49571,5.0,1.0,1.0,1.0,0.0
 orth,1,0.30120481927710846,aime24,unproductive_repetition,0.00271714,0.00550297,0.493758,0.91004366,22.0,0.753387,0.75067,1.53602,2.08454,0.36728,0.38565,0.23726,3.0,0.0,1.0,1.0,1.0
 p,1,0.30120481927710846,aime24,unproductive_repetition,5.5e-07,0.00106675,0.000517,0.53358167,477.0,0.751596,0.751596,1.14891,3.30466,2.87592,4.31073,0.86765,4.0,0.0,0.0,0.0,0.0
 parallel,1,0.30120481927710846,aime24,unproductive_repetition,0.86675352,0.81176925,1.067734,0.87999362,0.0,0.866754,0.0,0.59308,1.07191,0.09953,0.23936,0.09966,3.0,1.0,1.0,1.0,0.0
 row,1,0.30120481927710846,aime24,unproductive_repetition,0.68403667,0.6332587,1.080185,0.67007232,0.0,0.684037,0.0,0.83925,1.08054,0.05357,0.09626,0.06454,1.0,1.0,1.0,1.0,0.0
 segments,1,0.30120481927710846,aime24,unproductive_repetition,0.05290902,0.07464927,0.708768,0.66144097,1.0,0.937835,0.884926,0.27975,0.41872,0.02742,0.04286,0.03514,2.0,1.0,1.0,1.0,0.0
 shift,1,0.30120481927710846,aime24,unproductive_repetition,5.6e-07,0.00192933,0.00029,0.72946537,167.0,0.631525,0.631525,0.80193,2.75526,1.43427,3.28753,0.71385,5.0,0.0,0.0,0.0,0.0
 solutions,1,0.30120481927710846,aime24,unproductive_repetition,0.02106884,0.16497208,0.127712,0.93371946,6.0,0.543372,0.522304,2.02892,4.20379,3.65585,2.48446,0.74068,5.0,0.0,0.0,0.0,0.0
 sum,1,0.30120481927710846,livecodebench,unproductive_repetition,0.03598835,0.43450457,0.082826,0.79694128,1.0,0.928152,0.892164,0.41803,1.8279,0.82503,1.46036,0.59666,2.0,0.0,0.0,0.0,0.0
 there,1,0.30120481927710846,aime24,unproductive_repetition,0.10742787,0.1536012,0.699395,0.46340719,1.0,0.257706,0.150278,2.96341,3.06657,0.74302,0.66042,0.44602,5.0,1.0,1.0,1.0,0.0
 to,1,0.30120481927710846,aime24,unproductive_repetition,0.99894971,0.99901736,0.999932,0.26208597,0.0,0.99895,0.0,0.01308,0.01024,0.00204,0.00177,0.00076,6.0,1.0,1.0,1.0,0.0
 using,1,0.30120481927710846,aime24,unproductive_repetition,0.02892247,0.121239,0.238558,0.26763356,2.0,0.845239,0.816316,0.8696,4.47413,2.98677,3.8306,0.84922,6.0,0.0,1.0,1.0,1.0
 we,1,0.30120481927710846,aime24,unproductive_repetition,0.72029257,0.55735207,1.292348,0.60464424,0.0,0.720293,0.0,1.43305,2.24637,0.23224,0.35029,0.24556,3.0,1.0,1.0,1.0,0.0
 with,1,0.30120481927710846,aime24,unproductive_repetition,0.01038398,0.02949663,0.35204,0.83586138,10.0,0.441538,0.431154,1.99639,2.67694,0.44439,0.55611,0.28416,1.0,0.0,1.0,1.0,1.0
 λ,1,0.30120481927710846,aime24,unproductive_repetition,0.00055248,0.86019772,0.000642,0.33729911,1.0,0.998901,0.998349,0.01088,1.02196,7.63511,7.38322,0.99847,0.0,0.0,0.0,0.0,0.0
 “,1,0.30120481927710846,mtbench,unproductive_repetition,0.59950083,0.79459751,0.754471,0.6846264,0.0,0.599501,0.0,2.6905,1.4671,0.45291,0.22323,0.24877,2.0,1.0,1.0,1.0,0.0
/,1,0.30120481927710846,aime24,unproductive_repetition,0.70423377,0.94298542,0.746813,0.96511,0.0,0.704234,0.0,0.62304,0.26249,0.33376,0.2303,0.24741,4.0,0.0,1.0,1.0,1.0
1,1,0.30120481927710846,aime24,unproductive_repetition,0.99998391,0.99958628,1.000398,0.72618723,0.0,0.999984,0.0,0.00022,0.00397,0.00036,0.00104,0.0004,3.0,1.0,1.0,1.0,0.0
100,1,0.30120481927710846,aime24,unproductive_repetition,0.99998438,0.93870944,1.065276,0.49833575,0.0,0.999984,0.0,0.00023,0.35462,0.06313,0.48474,0.06128,4.0,1.0,1.0,1.0,0.0
120,1,0.30120481927710846,aime24,unproductive_repetition,0.9999969,0.99373478,1.006302,0.25956991,0.0,0.999997,0.0,5e-05,0.05476,0.00627,0.0499,0.00626,6.0,1.0,1.0,1.0,0.0
121,1,0.30120481927710846,aime24,unproductive_repetition,0.99999869,0.99944216,1.000557,0.88744342,0.0,0.999999,0.0,2e-05,0.00645,0.00055,0.00522,0.00056,3.0,1.0,1.0,1.0,0.0
217,1,0.30120481927710846,aime24,unproductive_repetition,1.8e-07,0.01838366,1e-05,0.44956714,512.0,0.992454,0.992454,0.06666,3.65107,1.2231,5.84008,0.70635,2.0,0.0,0.0,0.0,0.0
3,1,0.30120481927710846,aime24,unproductive_repetition,0.99994326,0.99999535,0.999948,0.98804653,0.0,0.999943,0.0,0.00065,7e-05,0.00026,6e-05,6e-05,1.0,1.0,1.0,1.0,0.0
368,1,0.30120481927710846,aime24,unproductive_repetition,0.00591034,0.92084765,0.006418,0.55077076,1.0,0.993967,0.988057,0.03773,0.29882,16.69569,5.63453,0.99407,5.0,0.0,0.0,0.0,0.0
386,1,0.30120481927710846,aime24,unproductive_repetition,0.99099612,0.98435217,1.00675,0.60201269,0.0,0.990996,0.0,0.07106,0.15167,0.0301,0.04212,0.01325,6.0,1.0,1.0,1.0,0.0
484,1,0.30120481927710846,aime24,unproductive_repetition,0.9999876,0.86744279,1.152799,0.01017387,0.0,0.999988,0.0,0.00019,0.95219,0.14209,1.34686,0.13254,6.0,1.0,1.0,1.0,0.0
495,1,0.30120481927710846,aime24,unproductive_repetition,7.2e-07,0.00418536,0.000173,0.62647098,214.0,0.987604,0.987604,0.08894,4.48751,2.65392,6.8233,0.92297,4.0,0.0,0.0,0.0,0.0
6,1,0.30120481927710846,aime24,unproductive_repetition,0.00460484,0.8205229,0.005612,0.72996175,1.0,0.99437,0.989765,0.03907,0.65686,2.89854,4.75994,0.9421,4.0,0.0,0.0,0.0,0.0
8,1,0.30120481927710846,aime24,unproductive_repetition,0.99998426,0.99980932,1.000175,0.30096835,0.0,0.999984,0.0,0.00024,0.00218,0.00017,0.00066,0.00018,2.0,1.0,1.0,1.0,0.0
866,1,0.30120481927710846,aime24,unproductive_repetition,0.99999833,0.97883272,1.021623,0.55413502,0.0,0.999998,0.0,3e-05,0.18119,0.02138,0.25337,0.02117,6.0,1.0,1.0,1.0,0.0
9,1,0.30120481927710846,aime24,unproductive_repetition,1.3e-07,0.15425898,1e-06,0.63163626,19.0,0.999866,0.999866,0.00157,1.48908,0.61881,5.04152,0.46151,0.0,0.0,0.0,0.0,0.0
;,1,0.30120481927710846,aime24,unproductive_repetition,0.26732489,0.07906034,3.381277,0.80350178,1.0,0.343252,0.075927,2.21029,2.79314,0.7299,0.77055,0.39431,3.0,1.0,1.0,1.0,0.0
Also,1,0.30120481927710846,aime24,unproductive_repetition,0.01250248,0.01102393,1.134122,0.16472526,8.0,0.414025,0.401523,1.98395,2.0091,0.15961,0.16534,0.23173,2.0,1.0,1.0,1.0,0.0
Alternate,1,0.30120481927710846,aime24,unproductive_repetition,0.23877987,0.2094676,1.139937,0.76104188,1.0,0.270573,0.031793,2.48519,2.41561,0.2548,0.22658,0.24149,1.0,1.0,1.0,1.0,0.0
At,1,0.30120481927710846,aime24,unproductive_repetition,0.14171161,0.05386278,2.630974,0.01972415,3.0,0.206189,0.064478,2.50767,2.46502,0.54808,0.47028,0.44478,2.0,1.0,1.0,1.0,0.0
Because,1,0.30120481927710846,aime24,unproductive_repetition,0.00040343,0.00231127,0.174548,0.13561028,45.0,0.344551,0.344148,2.03611,2.5493,0.59236,0.67961,0.37111,3.0,1.0,1.0,1.0,0.0
Better,1,0.30120481927710846,aime24,unproductive_repetition,0.0208931,0.01849695,1.129543,0.34860274,8.0,0.326823,0.30593,2.35401,2.13525,0.17076,0.14934,0.18939,2.0,1.0,1.0,1.0,0.0
Check,1,0.30120481927710846,aime24,unproductive_repetition,0.02517574,0.06378875,0.394674,0.56916028,5.0,0.446251,0.421075,1.76241,2.02381,0.32345,0.36704,0.36345,6.0,0.0,1.0,1.0,1.0
Edge,1,0.30120481927710846,livecodebench,unproductive_repetition,0.26600641,0.54279178,0.490071,0.20727214,0.0,0.266006,0.0,2.47629,1.99719,0.72261,0.51467,0.46024,3.0,1.0,1.0,1.0,0.0
First,1,0.30120481927710846,aime24,unproductive_repetition,2.375e-05,0.00021674,0.109597,0.08531059,214.0,0.263093,0.263069,2.67094,2.60533,0.74313,0.5967,0.47277,2.0,1.0,1.0,1.0,0.0
For,1,0.30120481927710846,aime24,unproductive_repetition,0.80683666,0.70937896,1.137385,0.87859148,0.0,0.806837,0.0,0.90029,1.42053,0.36314,0.37814,0.19989,3.0,1.0,1.0,1.0,0.0
Given,1,0.30120481927710846,aime24,unproductive_repetition,0.01260121,0.01190902,1.058123,0.90436602,10.0,0.417295,0.404694,2.22923,3.06892,1.03384,0.73285,0.41651,1.0,1.0,1.0,1.0,0.0
Hence,1,0.30120481927710846,aime24,unproductive_repetition,0.0837753,0.09185644,0.912024,0.33020547,2.0,0.482094,0.398318,2.15558,2.00002,0.1105,0.09402,0.13211,4.0,1.0,1.0,1.0,0.0
If,1,0.30120481927710846,aime24,unproductive_repetition,0.08946823,0.31922963,0.280263,0.20540747,2.0,0.275582,0.186113,2.58513,2.89078,2.82511,1.14792,0.62333,2.0,1.0,1.0,1.0,0.0
In,1,0.30120481927710846,aime24,unproductive_repetition,0.0005771,0.00112543,0.512778,0.26278651,32.0,0.408607,0.40803,2.1075,2.29241,0.28001,0.33539,0.23041,5.0,1.0,1.0,1.0,0.0
Number,1,0.30120481927710846,aime24,unproductive_repetition,0.00029317,0.01654261,0.017722,0.96686095,56.0,0.412809,0.412516,2.14698,3.19716,1.72309,1.99749,0.6651,3.0,0.0,0.0,0.0,0.0
